97100
and drag to reorder skills:0.00530381050463
1 expand certifications section certification:0.000288362512873
see more education featured skills:0.000288362512873
yrs see description see more:0.000278063851699
duration 1 yr 1 mo:0.000278063851699
– present employment duration 4:0.000278063851699
2015 – present employment duration:0.000278063851699
degree name bs field of:0.000267765190525
employment duration 1 yr 1:0.000267765190525
name bs field of study:0.000267765190525
or expected graduation 2005 –:0.000267765190525
attended or expected graduation 2005:0.000267765190525
or expected graduation 2008 –:0.000257466529351
expand languages section languages english:0.000257466529351
et marie curie paris vi:0.000257466529351
attended or expected graduation 2008:0.000257466529351
attended or expected graduation 2009:0.000257466529351
pierre et marie curie paris:0.000257466529351
1 connection have given endorsements:0.000247167868177
generale corporate and investment banking:0.000247167868177
and investment banking  sgcib:0.000247167868177
connection have given endorsements for:0.000247167868177
present employment duration 4 yrs:0.000247167868177
societe generale corporate and investment:0.000247167868177
drag to reorder skills derivatives:0.000247167868177
and 1 connection have given:0.000247167868177
attended or expected graduation 2006:0.000247167868177
corporate and investment banking :0.000247167868177
2 others who are highly:0.000236869207003
2 expand languages section languages:0.000236869207003
or expected graduation 2004 –:0.000236869207003
2013 – present employment duration:0.000236869207003
to reorder skills derivatives see:0.000236869207003
has 2 languages 2 expand:0.000236869207003
languages 2 expand languages section:0.000236869207003
2 languages 2 expand languages:0.000236869207003
and 2 others who are:0.000236869207003
skills  endorsements trading see:0.000236869207003
location greater chicago area see:0.000236869207003
university of illinois at urbanachampaign:0.000236869207003
or expected graduation 2009 –:0.000236869207003
attended or expected graduation 2004:0.000236869207003
attended or expected graduation 2007:0.000236869207003
or expected graduation 2007 –:0.000226570545829
trader company name sun trading:0.000226570545829
present employment duration 5 yrs:0.000226570545829
or expected graduation 2006 –:0.000226570545829
attended or expected graduation 2002:0.000226570545829
2012 – present employment duration:0.000226570545829
has a account 3rd degree:0.000216271884655
description see more about senior:0.000216271884655
quantitative trader company name sun:0.000216271884655
chicago area see description see:0.000216271884655
drag to reorder skills equities:0.000216271884655
york city area 500 500:0.000216271884655
colleagues at transmarket group click:0.000216271884655
employment duration 5 mos location:0.000216271884655
undefined summary highlights experience quantitative:0.000216271884655
new york city area 500:0.000216271884655
a account 3rd degree connection3rd:0.000216271884655
at transmarket group click and:0.000216271884655
city area 500 500 connections:0.000216271884655
this endorsed by 4 of:0.000216271884655
greater chicago area see description:0.000216271884655
at this endorsed by 4:0.000216271884655
mos location paris area france:0.000216271884655
and 4 connections have given:0.000216271884655
4 connections have given endorsements:0.000216271884655
transmarket group click and drag:0.000216271884655
or expected graduation 2002 –:0.000216271884655
received 0 given 1 you:0.000205973223481
given 1 you haven’t received:0.000205973223481
of study mathematics dates attended:0.000205973223481
attended or expected graduation 2011:0.000205973223481
name ms field of study:0.000205973223481
1 you haven’t received any:0.000205973223481
recommendations received 0 given 1:0.000205973223481
company name morgan stanley dates:0.000205973223481
name morgan stanley dates employed:0.000205973223481
study mathematics dates attended or:0.000205973223481
degree name ms field of:0.000205973223481
0 given 1 you haven’t:0.000205973223481
france see description see more:0.000205973223481
featured skills  endorsements quantitative:0.000205973223481
field of study mathematics dates:0.000205973223481
united kingdom see description see:0.000195674562307
société générale click and drag:0.000195674562307
click to upgrade to premium:0.000195674562307
followers algorithmic traders association cta:0.000195674562307
institute of technology degree name:0.000195674562307
colleagues at société générale click:0.000195674562307
economics dates attended or expected:0.000195674562307
or expected graduation 2011 –:0.000195674562307
of science field of study:0.000195674562307
area france see description see:0.000195674562307
in the city of new:0.000195674562307
the city of new york:0.000195674562307
paris area france see description:0.000195674562307
to reorder skills equities see:0.000195674562307
endorsement for this skill click:0.000195674562307
has given an endorsement for:0.000195674562307
premium account click to upgrade:0.000195674562307
an endorsement for this skill:0.000195674562307
university in the city of:0.000195674562307
account click to upgrade to:0.000195674562307
kingdom see description see more:0.000195674562307
has a premium account click:0.000195674562307
générale click and drag to:0.000195674562307
london united kingdom see description:0.000195674562307
columbia university in the city:0.000195674562307
location paris area france see:0.000195674562307
a premium account click to:0.000195674562307
physics dates attended or expected:0.000195674562307
at société générale click and:0.000195674562307
and 3 connections have given:0.000195674562307
given an endorsement for this:0.000195674562307
location london united kingdom see:0.000195674562307
3 connections have given endorsements:0.000195674562307
duration 3 mos location greater:0.000185375901133
2011 – present employment duration:0.000185375901133
attended or expected graduation 2012:0.000185375901133
attended or expected graduation 2010:0.000185375901133
or expected graduation 2010 –:0.000185375901133
description see more about summer:0.000175077239959
 endorsements quantitative finance see:0.000175077239959
drag to reorder skills quantitative:0.000175077239959
has 1 language 1 expand:0.000175077239959
name masters degree field of:0.000175077239959
university greater new york city:0.000175077239959
1 language 1 expand languages:0.000175077239959
2012 employment duration 1 yr:0.000175077239959
skills  endorsements quantitative finance:0.000175077239959
3 mos location greater new:0.000175077239959
degree name bachelor of science:0.000175077239959
masters degree field of study:0.000175077239959
degree name masters degree field:0.000175077239959
or expected graduation 2012 –:0.000175077239959
drag to reorder skills financial:0.000175077239959
dates employed jun 2012 –:0.000175077239959
drag to reorder skills options:0.000175077239959
1 expand languages section language:0.000175077239959
language 1 expand languages section:0.000175077239959
4 mos see description see:0.000175077239959
or expected graduation 2003 –:0.000164778578785
university of chicago degree name:0.000164778578785
1 yr 1 mo location:0.000164778578785
2013 employment duration 1 yr:0.000164778578785
expand honors  awards section:0.000164778578785
trading llc click and drag:0.000164778578785
attended or expected graduation 1998:0.000164778578785
company name tower research capital:0.000164778578785
3 others who are highly:0.000164778578785
employment duration 2 yrs 3:0.000164778578785
field of study applied mathematics:0.000164778578785
drag to reorder skills r:0.000164778578785
employment duration 1 yr location:0.000164778578785
and 3 others who are:0.000164778578785
systematic trading and statistical arbitrage:0.000164778578785
duration 2 yrs 3 mos:0.000164778578785
to reorder skills options see:0.000164778578785
attended or expected graduation 2003:0.000164778578785
– aug 2011 employment duration:0.000164778578785
trading and statistical arbitrage network:0.000154479917611
to reorder skills r see:0.000154479917611
 tepper school of business:0.000154479917611
mellon university  tepper school:0.000154479917611
employment duration 1 yr 5:0.000154479917611
languages 3 expand languages section:0.000154479917611
6 mos see description see:0.000154479917611
2014 employment duration 1 yr:0.000154479917611
duration 1 yr 5 mos:0.000154479917611
school of business degree name:0.000154479917611
2009 employment duration 1 yr:0.000154479917611
3 expand languages section languages:0.000154479917611
3 languages 3 expand languages:0.000154479917611
university  tepper school of:0.000154479917611
carnegie mellon university  tepper:0.000154479917611
attended or expected graduation 1997:0.000154479917611
and statistical arbitrage network 15545:0.000154479917611
– present employment duration 6:0.000154479917611
has 3 languages 3 expand:0.000154479917611
or expected graduation 1997 –:0.000154479917611
name goldman sachs dates employed:0.000154479917611
dates employed jun 2013 –:0.000154479917611
statistical arbitrage network 15545 members:0.000154479917611
2016 employment duration 1 yr:0.000154479917611
company name goldman sachs dates:0.000154479917611
or expected graduation 1998 –:0.000154479917611
3 mos see description see:0.000154479917611
summary highlights experience quantitative trader:0.000144181256437
name tower research capital dates:0.000144181256437
duration 1 yr 4 mos:0.000144181256437
dates employed jul 2010 –:0.000144181256437
chicago booth school of business:0.000144181256437
employment duration 1 yr 4:0.000144181256437
employment duration 1 yr 9:0.000144181256437
description see more about trader:0.000144181256437
endorsements yet click and drag:0.000144181256437
yet click and drag to:0.000144181256437
and 6 connections have given:0.000144181256437
6 connections have given endorsements:0.000144181256437
drag to reorder skills electronic:0.000144181256437
connect pending invitation sent i:0.000144181256437
imc financial markets  asset:0.000144181256437
financial markets  asset management:0.000144181256437
no endorsements yet click and:0.000144181256437
– aug 2013 employment duration:0.000144181256437
2013 employment duration 2 yrs:0.000144181256437
attended or expected graduation 2000:0.000144181256437
followers the university of chicago:0.000144181256437
trading click and drag to:0.000144181256437
of chicago booth school of:0.000144181256437
tower research capital dates employed:0.000144181256437
more positions education university of:0.000144181256437
duration 1 yr 9 mos:0.000144181256437
see more positions education university:0.000144181256437
university of chicago booth school:0.000144181256437
1 mo see description see:0.000144181256437
mo see description see more:0.000144181256437
2012 employment duration 2 yrs:0.000144181256437
to reorder skills electronic trading:0.000144181256437
skills recommendations received 1 given:0.000133882595263
company name credit suisse dates:0.000133882595263
liked see all activity experience:0.000133882595263
employment duration 1 yr 7:0.000133882595263
2017 – present employment duration:0.000133882595263
name societe generale dates employed:0.000133882595263
or expected graduation 2000 –:0.000133882595263
to reorder skills trading systems:0.000133882595263
greater chicago area 500 500:0.000133882595263
dates employed jun 2011 –:0.000133882595263
drag to reorder skills matlab:0.000133882595263
reorder skills electronic trading see:0.000133882595263
education the university of chicago:0.000133882595263
company name societe generale dates:0.000133882595263
university degree name bs field:0.000133882595263
employment duration 8 mos location:0.000133882595263
employment duration 2 mos location:0.000133882595263
description see more about research:0.000133882595263
description see more about head:0.000133882595263
expected graduation 2004 – 2008:0.000133882595263
expected graduation 2005 – 2009:0.000133882595263
study finance dates attended or:0.000133882595263
name credit suisse dates employed:0.000133882595263
employment duration 2 yrs location:0.000133882595263
– present employment duration 8:0.000133882595263
chicago area 500 500 connections:0.000133882595263
field of study finance dates:0.000133882595263
duration 1 yr 7 mos:0.000133882595263
field of study financial mathematics:0.000133882595263
expected graduation 2008 – 2012:0.000133882595263
employment duration 10 mos location:0.000133882595263
7 mos see description see:0.000133882595263
of study finance dates attended:0.000133882595263
duration 1 yr 2 mos:0.000133882595263
employment duration 5 yrs location:0.000123583934089
2011 employment duration 3 yrs:0.000123583934089
company name transmarket group llc:0.000123583934089
study physics dates attended or:0.000123583934089
employment duration 3 yrs location:0.000123583934089
employment duration 1 yr 2:0.000123583934089
attended or expected graduation 2013:0.000123583934089
financial mathematics dates attended or:0.000123583934089
dates employed jun 2015 –:0.000123583934089
new york 500 500 connections:0.000123583934089
duration 1 yr 10 mos:0.000123583934089
degree name msc field of:0.000123583934089
– aug 2012 employment duration:0.000123583934089
hedge fund group hfg association:0.000123583934089
group hfg association alternative investments:0.000123583934089
indian institute of technology madras:0.000123583934089
of study physics dates attended:0.000123583934089
more skills recommendations received 1:0.000123583934089
to reorder skills proprietary trading:0.000123583934089
company name imc financial markets:0.000123583934089
this media is a link:0.000123583934089
field of study financial engineering:0.000123583934089
the university of chicago booth:0.000123583934089
association alternative investments cta funds:0.000123583934089
name bnp paribas dates employed:0.000123583934089
at this endorsed by 5:0.000123583934089
field of study physics dates:0.000123583934089
hfg association alternative investments cta:0.000123583934089
alternative investments cta funds :0.000123583934089
or expected graduation 2013 –:0.000123583934089
expand certifications section certification series:0.000123583934089
fund of funds 183230 members:0.000123583934089
duration 3 yrs 2 mos:0.000123583934089
employment duration 3 yrs 2:0.000123583934089
fund group hfg association alternative:0.000123583934089
cta funds  fund of:0.000123583934089
2009 featured skills  endorsements:0.000123583934089
york 500 500 connections connect:0.000123583934089
 fund of funds 183230:0.000123583934089
drag to reorder skills proprietary:0.000123583934089
trader company name transmarket group:0.000123583934089
york new york 500 500:0.000123583934089
new york new york 500:0.000123583934089
2014 employment duration 3 yrs:0.000123583934089
yrs location greater new york:0.000123583934089
reorder skills trading systems see:0.000123583934089
present employment duration 6 yrs:0.000123583934089
name msc field of study:0.000123583934089
company name bnp paribas dates:0.000123583934089
2011 employment duration 1 yr:0.000123583934089
colleagues at sun trading llc:0.000123583934089
to reorder skills matlab see:0.000123583934089
management click and drag to:0.000123583934089
employment duration 1 yr 10:0.000123583934089
members algorithmic traders association cta:0.000123583934089
investments cta funds  fund:0.000123583934089
this endorsed by 5 of:0.000123583934089
funds  fund of funds:0.000123583934089
degree name master field of:0.000113285272915
see more about head of:0.000113285272915
employment duration 6 mos location:0.000113285272915
name master field of study:0.000113285272915
9 mos see description see:0.000113285272915
interests algorithmic traders association cta:0.000113285272915
applied mathematics dates attended or:0.000113285272915
and 4 others who are:0.000113285272915
massachusetts institute of technology degree:0.000113285272915
employment duration 1 yr 3:0.000113285272915
employment duration 1 yr 6:0.000113285272915
2009 – present employment duration:0.000113285272915
– aug 2009 employment duration:0.000113285272915
this endorsed by 6 of:0.000113285272915
less see less about university:0.000113285272915
or expected graduation 2001 –:0.000113285272915
of study financial mathematics dates:0.000113285272915
science ms field of study:0.000113285272915
2013 – aug 2013 employment:0.000113285272915
4 others who are highly:0.000113285272915
duration 1 yr 6 mos:0.000113285272915
employment duration less than a:0.000113285272915
transmarket group llc dates employed:0.000113285272915
the university of chicago degree:0.000113285272915
field of study mechanical engineering:0.000113285272915
citadel investment group dates employed:0.000113285272915
dates employed jun 2014 –:0.000113285272915
sun trading llc 3228 followers:0.000113285272915
quantitative trader at sun trading:0.000113285272915
attended or expected graduation 1999:0.000113285272915
duration less than a year:0.000113285272915
employment duration 3 yrs 3:0.000113285272915
featured skills  endorsements derivatives:0.000113285272915
duration 2 yrs 9 mos:0.000113285272915
description see more about associate:0.000113285272915
1 yr 5 mos location:0.000113285272915
connect pending invitation sent specialties:0.000113285272915
– dec 2012 employment duration:0.000113285272915
name transmarket group llc dates:0.000113285272915
india see description see more:0.000113285272915
name citadel investment group dates:0.000113285272915
trader company name societe generale:0.000113285272915
company name citadel investment group:0.000113285272915
name master of science ms:0.000113285272915
skills  endorsements derivatives see:0.000113285272915
duration 2 yrs 1 mo:0.000113285272915
duration 3 yrs 3 mos:0.000113285272915
study financial mathematics dates attended:0.000113285272915
employment duration 4 mos see:0.000113285272915
at this endorsed by 6:0.000113285272915
company name societe generale corporate:0.000113285272915
1 yr 2 mos location:0.000113285272915
master of science ms field:0.000113285272915
attended or expected graduation 2001:0.000113285272915
field of study electrical engineering:0.000113285272915
employment duration 2 yrs 1:0.000113285272915
duration 1 yr 3 mos:0.000113285272915
1 yr 9 mos location:0.000113285272915
see less about university of:0.000113285272915
of science ms field of:0.000113285272915
see more about quantitative analyst:0.000113285272915
5 mos see description see:0.00010298661174
dates employed jul 2014 –:0.00010298661174
dates employed sep 2011 –:0.00010298661174
2010 employment duration 1 yr:0.00010298661174
2012 – aug 2012 employment:0.00010298661174
sun trading llc click and:0.00010298661174
reorder skills proprietary trading see:0.00010298661174
4 expand languages section languages:0.00010298661174
of undefined summary highlights follow:0.00010298661174
4 languages 4 expand languages:0.00010298661174
employment duration 3 yrs see:0.00010298661174
new york see description see:0.00010298661174
recommendations yet accomplishments interests algorithmic:0.00010298661174
– aug 2010 employment duration:0.00010298661174
duration 2 yrs 7 mos:0.00010298661174
or expected graduation 1999 –:0.00010298661174
2010 – present employment duration:0.00010298661174
this media is an image:0.00010298661174
trader company name tower research:0.00010298661174
employment duration 2 yrs 9:0.00010298661174
summary highlights follow follow entityname:0.00010298661174
yrs 6 mos see description:0.00010298661174
dates employed jun 2010 –:0.00010298661174
at sun trading llc click:0.00010298661174
recommendations yet accomplishments interests pulse:0.00010298661174
curie paris vi degree name:0.00010298661174
employment duration 1 yr see:0.00010298661174
6 others who are highly:0.00010298661174
company name société générale dates:0.00010298661174
2011 – aug 2011 employment:0.00010298661174
duration 4 mos see description:0.00010298661174
– aug 2014 employment duration:0.00010298661174
employment duration 9 mos location:0.00010298661174
highlights experience trader company name:0.00010298661174
awards section honors  awards:0.00010298661174
location new york see description:0.00010298661174
expand test scores section test:0.00010298661174
– sep 2011 employment duration:0.00010298661174
of study economics dates attended:0.00010298661174
company name transmarket group dates:0.00010298661174
dates employed jan 2013 –:0.00010298661174
york see description see more:0.00010298661174
name transmarket group dates employed:0.00010298661174
dates employed jun 2016 –:0.00010298661174
less see less about université:0.00010298661174
marie curie paris vi degree:0.00010298661174
has 4 languages 4 expand:0.00010298661174
honors  awards section honors:0.00010298661174
mos see more positions education:0.00010298661174
name société générale dates employed:0.00010298661174
 awards section honors :0.00010298661174
followers massachusetts institute of technology:0.00010298661174
and 6 others who are:0.00010298661174
study economics dates attended or:0.00010298661174
bachelor of science field of:0.00010298661174
2014 employment duration 3 mos:0.00010298661174
languages 4 expand languages section:0.00010298661174
employment duration 2 yrs 7:0.00010298661174
field of study economics dates:0.00010298661174
undefined summary highlights follow follow:0.00010298661174
present employment duration 8 yrs:0.00010298661174
university degree name bachelor of:0.00010298661174
markets click and drag to:0.00010298661174
dates employed sep 2009 –:9.26879505664e-05
skills  endorsements options see:9.26879505664e-05
of illinois at urbanachampaign degree:9.26879505664e-05
– dec 2013 employment duration:9.26879505664e-05
8 more view 8 more:9.26879505664e-05
field of study mathematics and:9.26879505664e-05
followers kcg holdings inc 13989:9.26879505664e-05
view 11 more view 11:9.26879505664e-05
education stanford university degree name:9.26879505664e-05
kingdom 500 500 connections connect:9.26879505664e-05
view 21 more view 21:9.26879505664e-05
description see more about university:9.26879505664e-05
see more about summer analyst:9.26879505664e-05
statistics dates attended or expected:9.26879505664e-05
yrs 11 mos location greater:9.26879505664e-05
employment duration 1 yr 8:9.26879505664e-05
university of michigan degree name:9.26879505664e-05
field of study computational finance:9.26879505664e-05
to reorder skills view 8:9.26879505664e-05
employment duration 4 yrs 7:9.26879505664e-05
duration 4 yrs 7 mos:9.26879505664e-05
– sep 2014 employment duration:9.26879505664e-05
view 8 more view 8:9.26879505664e-05
view 8 more skills recommendations:9.26879505664e-05
london united kingdom 500 500:9.26879505664e-05
pierre and marie curie university:9.26879505664e-05
university of chicago greater chicago:9.26879505664e-05
investment banking  sgcib dates:9.26879505664e-05
trading see 7 endorsements for:9.26879505664e-05
location greater chicago area quantitative:9.26879505664e-05
field of study operations research:9.26879505664e-05
trading see less see less:9.26879505664e-05
to reorder skills view 21:9.26879505664e-05
reorder skills view 21 more:9.26879505664e-05
2015 employment duration 1 yr:9.26879505664e-05
united kingdom 500 500 connections:9.26879505664e-05
duration 3 yrs see description:9.26879505664e-05
expected graduation 2002 – 2006:9.26879505664e-05
1 yr see description see:9.26879505664e-05
name master of science msc:9.26879505664e-05
study applied mathematics dates attended:9.26879505664e-05
pending invitation sent i am:9.26879505664e-05
mos location new york see:9.26879505664e-05
8 more skills recommendations received:9.26879505664e-05
options 174858 members see all:9.26879505664e-05
china see description see more:9.26879505664e-05
duration 1 yr see description:9.26879505664e-05
name bachelor of science field:9.26879505664e-05
2008 employment duration 1 yr:9.26879505664e-05
present employment duration 7 yrs:9.26879505664e-05
11 more skills recommendations received:9.26879505664e-05
followers sun trading llc 3228:9.26879505664e-05
invitation sent highlights experience trader:9.26879505664e-05
yrs 1 mo see description:9.26879505664e-05
more view 21 more skills:9.26879505664e-05
– aug 2008 employment duration:9.26879505664e-05
see more about university of:9.26879505664e-05
university degree name ms field:9.26879505664e-05
2016 employment duration 3 yrs:9.26879505664e-05
of chicago greater chicago area:9.26879505664e-05
financial engineering dates attended or:9.26879505664e-05
trader at sun trading llc:9.26879505664e-05
dates employed aug 2012 –:9.26879505664e-05
– 2009 activities and societies:9.26879505664e-05
of science msc field of:9.26879505664e-05
degree name doctor of philosophy:9.26879505664e-05
bachelors degree field of study:9.26879505664e-05
school dates attended or expected:9.26879505664e-05
illinois at urbanachampaign degree name:9.26879505664e-05
2010 – aug 2010 employment:9.26879505664e-05
more view 11 more skills:9.26879505664e-05
11 more view 11 more:9.26879505664e-05
name doctor of philosophy phd:9.26879505664e-05
yr see description see more:9.26879505664e-05
bank click and drag to:9.26879505664e-05
description see more about quant:9.26879505664e-05
expected graduation 2013 – 2014:9.26879505664e-05
more view 8 more skills:9.26879505664e-05
view 21 more skills recommendations:9.26879505664e-05
– present employment duration 7:9.26879505664e-05
master of science msc field:9.26879505664e-05
21 more skills recommendations received:9.26879505664e-05
dates employed apr 2008 –:9.26879505664e-05
duration 1 yr 8 mos:9.26879505664e-05
high frequency trading 35343 members:9.26879505664e-05
kcg holdings inc 13989 followers:9.26879505664e-05
description see more about director:9.26879505664e-05
– 2009 featured skills :9.26879505664e-05
featured skills  endorsements options:9.26879505664e-05
174858 members see all see:9.26879505664e-05
view 11 more skills recommendations:9.26879505664e-05
tower research capital 11305 followers:9.26879505664e-05
2012 employment duration 3 mos:9.26879505664e-05
skills view 8 more view:9.26879505664e-05
skills view 11 more view:9.26879505664e-05
reorder skills view 8 more:9.26879505664e-05
science msc field of study:9.26879505664e-05
2 yrs 3 mos location:9.26879505664e-05
dates employed aug 2014 –:9.26879505664e-05
forex options 174858 members see:9.26879505664e-05
skills view 21 more view:9.26879505664e-05
1 yr 4 mos location:9.26879505664e-05
banking  sgcib dates employed:9.26879505664e-05
see more about vice president:9.26879505664e-05
description see more about software:9.26879505664e-05
21 more view 21 more:9.26879505664e-05
bank of america merrill lynch:9.26879505664e-05
to reorder skills view 11:9.26879505664e-05
reorder skills view 11 more:9.26879505664e-05
susquehanna international group llp sig:9.26879505664e-05
name societe generale corporate and:9.26879505664e-05
description see more about vice:9.26879505664e-05
3 yrs see description see:9.26879505664e-05
of study applied mathematics dates:9.26879505664e-05
mos location new york ny:9.26879505664e-05
sent highlights experience trader company:9.26879505664e-05
yrs 3 mos location greater:8.23892893924e-05
dates employed jun 2008 –:8.23892893924e-05
dates employed may 2011 –:8.23892893924e-05
employment duration 2 yrs 11:8.23892893924e-05
name merrill lynch dates employed:8.23892893924e-05
employment duration 3 mos see:8.23892893924e-05
name bachelors degree field of:8.23892893924e-05
12 more skills recommendations received:8.23892893924e-05
city university of new york:8.23892893924e-05
degree name bachelors degree field:8.23892893924e-05
to reorder skills financial modeling:8.23892893924e-05
has 1 organization 1 expand:8.23892893924e-05
reorder skills trading strategies see:8.23892893924e-05
to reorder skills quantitative finance:8.23892893924e-05
university of california los angeles:8.23892893924e-05
expected graduation 2007 – 2008:8.23892893924e-05
– jul 2013 employment duration:8.23892893924e-05
singapore see description see more:8.23892893924e-05
skills view 12 more view:8.23892893924e-05
ms field of study financial:8.23892893924e-05
employment duration 7 mos location:8.23892893924e-05
2 mos location greater chicago:8.23892893924e-05
duration 7 mos see description:8.23892893924e-05
2009 employment duration 2 yrs:8.23892893924e-05
dates employed jun 2006 –:8.23892893924e-05
the university of chicago greater:8.23892893924e-05
duration 3 yrs 11 mos:8.23892893924e-05
financial markets click and drag:8.23892893924e-05
employment duration 7 mos see:8.23892893924e-05
capital management click and drag:8.23892893924e-05
location singapore see description see:8.23892893924e-05
employment duration 3 yrs 11:8.23892893924e-05
doctor of philosophy phd field:8.23892893924e-05
recommendations received 1 given 0:8.23892893924e-05
more view 17 more skills:8.23892893924e-05
trading see 12 endorsements for:8.23892893924e-05
of philosophy phd field of:8.23892893924e-05
education massachusetts institute of technology:8.23892893924e-05
company name squarepoint capital dates:8.23892893924e-05
1 expand organizations section organization:8.23892893924e-05
high school dates attended or:8.23892893924e-05
17 more skills recommendations received:8.23892893924e-05
2010 employment duration 2 yrs:8.23892893924e-05
– jul 2014 employment duration:8.23892893924e-05
name squarepoint capital dates employed:8.23892893924e-05
less see less about stanford:8.23892893924e-05
employment duration 3 yrs 1:8.23892893924e-05
duration 4 mos location greater:8.23892893924e-05
3 yrs 3 mos location:8.23892893924e-05
drag to reorder skills statistical:8.23892893924e-05
computational finance dates attended or:8.23892893924e-05
colleagues at bank of america:8.23892893924e-05
stanley click and drag to:8.23892893924e-05
organization 1 expand organizations section:8.23892893924e-05
view 17 more view 17:8.23892893924e-05
duration 2 yrs 6 mos:8.23892893924e-05
duration 3 yrs 1 mo:8.23892893924e-05
